id,chessboard
ZytLJjpW,3r4/5k2/6p1/2R4p/8/6P1/PPP2P1P/4K3 w - - 3 36
Qp6HUC6i,4rrk1/pp3bp1/3p1p2/8/5PQ1/1PB5/P6P/R4RK1 w - - 4 25
sIub43Gy,r4rk1/5ppp/2Q5/p7/P7/2q5/1b4PP/1R5K w - - 0 26
YZ8SFytU,rnbq1rk1/1p3p1p/p2p1p2/4p3/P1B1P3/5N2/1PP2PPP/R2QK2R w KQ - 2 13
tOqNU3JX,2r3k1/p2n3p/1p4q1/2p5/6Q1/1P2P1bP/PBPP4/2K2R1R w - - 2 29
p7wXmHUk,rnq2rk1/ppp1bppp/3p4/5b2/2BNN3/7P/PPP3P1/R1BQ1RK1 w - - 0 12
3R0FTYSJ,r4r2/1p2n3/3p2p1/p1pPp1k1/4P3/4RR1P/5P2/1q3BK1 w - - 0 34
ue19ST3i,8/P7/8/1Kp5/2P5/2k5/7b/8 w - - 1 47
h4pZriXb,2R2bk1/5p1p/p5p1/1p2q3/8/3K4/6P1/8 w - - 4 42
bEvA3qPb,3r2k1/5p2/6p1/8/3P4/3B1P2/6PP/1R4K1 w - - 0 36
GtLnX9jb,3r1k2/pp3ppQ/4P3/8/1b4P1/5PKR/1P1q3P/4q3 w - - 3 32
j0WcJgBq,4r3/7p/2R3p1/1p3R2/7k/3P1B2/PP3PP1/6K1 w - - 0 27
yoCbKa3Y,r4rk1/p2n1ppp/1p3q2/4pb2/1PPR4/5P2/P5PP/2K1QB1R w - - 0 19
r63ZoagW,4k1nr/pQ1bbppp/4p3/1B1pP2K/8/5q2/PPr4P/RN5R w k - 4 17
d3gvEdGa,8/2p5/2R2pk1/2p4p/4PK2/2P5/3N2PP/8 w - - 1 34
BXenULlm,r4rk1/4Rp2/2ppB1pp/8/p7/PnQ3P1/KP5P/q7 w - - 10 39
CoDTXvDw,6rk/p6p/3p4/8/1P4qK/8/P4P1P/8 w - - 0 35
m1wwFUv2,2r1r1k1/8/2q3p1/p3Q3/8/2N5/PPP5/2K2R1R w - - 2 31
QdOw7qaR,r3k3/p3pr2/1qp3Q1/8/4p3/8/PPP1N3/2KR3R w - - 1 23
M7DtmdOd,rn4q1/p3ppk1/3p3r/2p5/8/2N5/PPPQ1PP1/2K4R w - - 0 19
FuOzm69e,rnbq1rk1/pp2ppbp/3p4/8/4B1Q1/2P5/PP3PPP/R3K2R w KQ - 2 14
1kidbSUe,r1bR1nk1/ppp2pBp/8/8/4P2p/2N2P2/PPP4P/2K2BR1 w - - 0 18
6imiq494,5r2/3Rq1kp/6p1/2r1pp2/1pQ5/P3P3/5PPP/1R4K1 w - - 0 27
Kb9bTRct,5r1k/p3q1pp/6p1/8/7P/2p2PK1/8/8 w - - 0 39
Dz7254on,rn2k2r/5p1p/p3pp2/8/2q5/P4N2/5RPP/R2Q2K1 w kq - 0 19
4FBIVMEA,r2q2r1/ppp1bpPk/3p3B/n7/3P4/2P2P2/PP1Q4/2KR1BR1 w - - 1 20
UQRN2glr,r4rk1/1p2ppbp/p2p2p1/8/2P1Pqb1/3B2N1/P5PP/6K1 w - - 0 25
hIGBtGza,1r4k1/5pp1/2p1r2p/4b3/PP3q2/3Q1P1P/5P2/1R3R1K w - - 5 31
vr3SGf5i,r2qk2r/p1pp1pp1/2n1pn2/2P5/8/1QP5/PP2PPpP/RNB1K1NR w KQkq - 0 10
DWLsTLBc,8/1p6/1p6/P7/4k3/2pp1p2/4n3/3K3r w - - 0 53
OWg3iF92,2k1r2r/ppp1qp1p/3p1n2/3Pn1p1/4Pp1b/2PB1Q1P/PP2N1P1/R1B2K1R w - - 1 16
b61ShR4F,3rk2r/3p1pp1/pq6/1P2p3/2Bnb3/6Pp/R4Q1P/2R3K1 w k - 2 26
F91V7uJN,8/8/1k1p4/1p1Pp2p/pP2P1pP/P4pP1/3K1P2/8 w - - 4 56
WEUdGqDa,1k6/1p3pp1/pNp4p/2P1r3/8/1P5P/1P6/5R1K w - - 0 30
QxS42tyQ,8/8/6k1/8/8/4B1Kb/8/8 w - - 0 50
UjzdHRbB,8/8/4p1pP/5k1K/p1r5/8/2P5/8 w - - 0 42
hNChZLFr,8/2p5/1p6/8/5R2/8/Q3Q3/2k3K1 w - - 3 50
3CqEsKVE,4k3/3n2pp/1p2p3/4n3/7P/2P5/5r2/r6K w - - 2 29
90b8B1iO,8/8/7p/7P/8/8/kpK5/1N6 w - - 12 63
XcQSU4P9,r2qkb1r/pp1n1ppp/4p3/1Q2N3/3n4/2N2K2/PP3PPP/2B4R w kq - 0 16
x1Tienfp,5k2/8/1R4p1/2p4p/8/1P3nPK/P4P1r/8 w - - 0 37
AcxkGszL,5r2/p4p1p/4pQpn/2k1P3/3p2P1/7P/PqP2P2/R4RK1 w - - 1 25
KX0uEWJ3,2k5/Bp4pp/2p5/8/2Br1b2/2P5/P5PP/2K5 w - - 0 26
lbhBZjdk,r3k3/1q2pr1p/p3QbpB/1p6/8/7P/PPP5/3b2K1 w - - 0 28
z3489XFw,5rk1/pbp2pp1/3q3p/3p4/8/3P1N2/PbP2PPP/RN2Q1K1 w - - 0 16
2TFlm6GA,8/1N6/6kp/8/4K1P1/4P2P/P7/8 w - - 1 44
XuQ6l7eu,7r/pp2r1kp/1b3p2/3Q3q/3Pp2p/2P3P1/P4P2/R1B2RK1 w - - 0 24
KdNS5igI,7k/6p1/pp1RP2p/5Q2/1q6/7P/P3rPP1/5RK1 w - - 0 31
XE0B1exE,3k3r/3q2pp/p1QR1p2/8/3P4/2P5/P4PPP/4R1K1 w - - 5 29
7GfUZrwo,3rr1k1/p4ppp/8/2p5/2R5/2P5/PP1p1PPP/3R2K1 w - - 2 21
xtdvNSoe,rnb2kn1/ppp4Q/6p1/2bp4/5q2/1B6/PPPP1PPP/RNB2RK1 w - - 0 12
akJMiDuY,r1b1k2r/pppp1Npp/2n5/4p3/2B1n3/8/PPPP1qPP/RNBQ1K1R w kq - 4 9
jsSuL4AK,5rk1/pp2n2p/5pp1/2B5/2K5/1P6/2q2PPP/3R4 w - - 0 30
VQYAN5Gg,2kr1b1r/2p2ppp/8/2P5/1P3Q2/2Pb2K1/P2N2PP/4q3 w - - 6 29
V3saHjrm,r1bqk1nr/1pp3p1/p2p1p1p/3Q4/1nB1P3/2N5/P1P2PPP/R1B1R1K1 w kq - 0 12
IsCMIlDI,1nbk1bnN/3ppBpp/pr6/Q1pN4/3P4/4P3/PP3PPP/R1B1K2R w KQ - 7 14
FEAAfDjm,rnb1kbnr/ppp4p/4p3/6q1/8/3P1N2/PPP2PPP/RN1QKB1R w KQkq - 0 7
Li5JezeR,8/1P6/7N/1P1R4/2P5/2K5/8/6k1 w - - 1 53
6IXvqxAX,rnb1k1nr/pppp1ppp/4p3/2b5/8/2P4P/PP1PPqP1/RNBQKBNR w kq - 1 6
J8N5Fzn1,3r4/1kp2p2/1p2p1p1/6P1/N4P2/P5n1/1P2r3/R3K2b w - - 1 30
cjxoNzmr,rnb3r1/pp2Q1pp/2k5/2p5/4p3/8/PPP2PPP/2KR1BNR w - - 0 14
SlMReQBq,4Qbkr/1p5p/p1p1N3/8/5R2/2P3NP/1P3PPK/1q6 w - - 5 29
BKMLK9ql,3k4/6pp/K4p2/7P/8/1q4n1/8/r7 w - - 7 51
uucvcf0w,5bkr/5ppp/p7/2p5/Q7/4PbP1/5P1K/1q6 w - - 3 37
zXetrBr9,3r3k/1rp1q1pp/p4p2/2R5/2Q1P3/1P3N1P/2P3P1/2K4R w - - 1 27
evVDZVmq,5rk1/3q3p/p7/1p1bn1NB/2p4N/2P1B1P1/PP3P1P/R5K1 w - - 0 33
SXZAsO6r,2Q5/8/1Q4K1/8/k7/8/8/8 w - - 11 60
zCWBY9Dv,2k4r/1pp2ppp/p7/8/2q2PP1/8/PPP3P1/3RR2K w - - 0 20
dKGq55SS,r1k5/p6p/1p4pP/1K1b1p2/2qp4/8/8/8 w - - 4 54
6lJnVMmg,r1b2r1k/p1p3pp/2pb4/6q1/3P4/2P5/P1P1N2P/R1BQ1RK1 w - - 0 16
Kdd0MnHr,r2k2r1/1p6/pp1p1pB1/7p/2P5/1P5P/P7/4R1K1 w - - 1 28
Me9VtBdH,r3kb1r/pp2p1pp/8/3p1b2/6q1/4BK2/Pn1Q1PPP/RN2N2R w kq - 2 16
UjIGEvQ4,2k2b1r/pp4pp/n1p1pn2/8/1P3P2/2r5/P3K1PP/R1B3NR w - - 0 15
CXV0M8Rj,3r2k1/p4ppp/3R1b1B/4p3/2p1PnP1/2P5/PP3PP1/7K w - - 0 27
zghDtr3B,r4rk1/pp3ppp/3b1n2/8/8/2Pq1P1P/P3N1P1/1RB1K2R w K - 0 17
Y4ufhSVs,6k1/2R3P1/8/2p4R/1p6/3r2P1/5PK1/8 w - - 0 59
Jei2FweC,4r1k1/2p3pp/8/q2Pp1B1/1b6/2N4P/PrPQ1PP1/R5K1 w - - 6 23
PuAM0GwH,1k1r4/1p6/4p1pp/8/2R1P3/6P1/4nnBP/7K w - - 5 30
WgfeDCYW,r1b1k2r/pp3ppp/4n3/1P6/2P1P3/3Q1P2/1q3P1P/1N3RK1 w kq - 0 18
RJ6zKzhj,5rk1/pp4pp/2p5/3bn3/6P1/1P6/P5q1/4b1K1 w - - 0 31
3CT3DTDO,4k2r/1p4pp/p2p2r1/3P4/4p3/8/PPP4P/2K2B2 w - - 0 24
hPj7iyMI,5rk1/2p4p/5p2/1P6/1P6/4b3/6PP/2R3K1 w - - 0 30
3fBpCNuA,Q2R4/8/4k1K1/3r2P1/8/8/8/8 w - - 7 65
gLPho3t8,rnbk2nr/1pp2pp1/p3p2p/3pP3/1b1Pq3/1P3N2/P1PNBPPP/R1BQ1RK1 w - - 2 9
q4p3b940,rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2
XXYEmj7z,1k3B2/8/8/8/p5p1/P2Q2P1/1P3P2/R4RK1 w - - 1 55
zK5KFluZ,8/1p1n2pk/p1p1R2p/2P5/PP1PP3/8/6r1/5Kq1 w - - 9 39
gmToa5R0,2b3k1/2p2p1p/4p1p1/1P2P1P1/1RP2P1P/8/r7/4K2r w - - 3 31
z3I3hrfZ,6k1/2p4p/6p1/1P2P1P1/6RP/2b1q1K1/5r2/8 w - - 7 40
dCe6lbAe,K7/5ppp/2k5/2p5/q7/8/8/1r6 w - - 2 50
QFtrCL0r,1k6/ppp2p2/6np/5QP1/P3P3/6P1/1PP3qr/R5K1 w - - 3 32
r3XYsW8V,8/8/8/7k/8/5K2/8/8 w - - 0 49
JxEDfmXp,r1b2k2/pppp3p/4p1p1/8/1bP2B2/2N3P1/P3BK1P/7R w - - 0 20
9I4A3mNA,1k6/pp3r2/8/4N3/P2P1pK1/P7/8/8 w - - 5 37
NarEAPFD,4kr2/5ppp/4b3/2R5/4nN2/7P/5PP1/3r2K1 w - - 5 25
xwe24qzw,8/8/2K4p/1q1r4/7k/8/8/n7 w - - 8 77
31H4nPmU,r1b4r/p2pkN1p/1p6/4P3/1PP2nP1/5B2/P4K1P/R1B4R w - - 1 22
5IV28PNB,4kb1r/1p3pRp/1pb1p3/8/5P1P/4Q1K1/6q1/2Br4 w k - 3 27
u8QXbQAE,rn4k1/p1p3p1/1p1bp2p/1P4Bq/2PP3P/1R3r2/P4P2/4KB2 w - - 0 21
481yE95w,4r1k1/1Br2p1p/4p1p1/4Q3/1RPP1PPB/P7/8/3K4 w - - 0 32
iA3o2tRj,r3kbnr/qppb1ppp/8/1B6/5Pn1/2N5/PPP1N1PP/R2QK2R w KQkq - 2 11
WE7Koeln,4r3/1k5p/2p5/4nN2/5P1P/2R5/P3P1P1/2B1K3 w - - 1 30
fuGYeJHY,r3k2r/p1pN1ppp/2p5/3p4/4n3/3P2q1/PPP3PK/RNBQR3 w kq - 24 24
ZRwaZmgO,r4rk1/ppB1bppp/8/5N2/KqP3nP/3P4/P3P1P1/5B1R w - - 2 21
UDRVlwfc,4k3/1b1n3r/r1pbp3/p5Np/B1pP3P/6q1/PP5K/R2Q3R w - - 0 26
PQKEjCvk,5K2/5q2/4k3/8/8/8/8/8 w - - 8 55
dGmgbEfj,4Q3/p3n2r/1p2R2p/2p2p2/P5p1/1P2Bk2/6q1/7K w - - 2 41
sKHNjuvw,3R4/pp3pk1/2p3p1/8/2q3P1/7Q/PP2PP1P/R5K1 w - - 0 26
T0Naxo24,r5k1/p1N2ppp/3p4/8/8/3q2P1/PP5P/RKBb4 w - - 0 22
gjymvZn3,2k5/5R2/6Q1/8/5PK1/8/8/8 w - - 5 66
JiSFx1DV,5k2/5p2/7K/3p2P1/3P4/7q/8/1q6 w - - 1 44
dZsvIkKo,5k2/pp2pr1p/2p1B1p1/4B3/P7/b7/5PPP/3R1RK1 w - - 2 24
VZJSVm93,r3k1r1/ppqn3R/2P1p3/5pPn/NQ3P2/8/PPP5/2K4R w - - 1 30
UxsGxw4G,6k1/4Q3/6K1/8/8/8/8/8 w - - 31 80
T4MtDOZ4,1k4rr/2p5/1p2p3/pP2Pp2/P2P1Q2/8/2PRN1qP/6K1 w - - 0 32
1rgrAOyK,r1b1kbnr/p2p1ppp/8/1pp1p1q1/3nP3/3K1P1P/PPPP2P1/RNBQ1B1R w kq - 0 8
qqo1zmY8,rn2k1nr/pp5p/5pp1/2b1p2P/2q5/7b/PPPKq3/RNB5 w kq - 4 18
RhLRiClg,1nbqkbnr/1ppppppp/8/8/p1P5/4P3/P2P1PPP/RNBQKBNR w KQk - 0 6
20ZX90Rl,rnb4k/ppp3pp/8/1B2rpB1/2Q4P/8/PP3PP1/RN1q1K1R w - - 2 14
Fa7kFoDc,7k/p4Qpp/1qnr4/6B1/4P3/8/PP4PP/R6K w - - 0 31
iNE1lale,2r2rk1/5p1p/1Q2b1p1/4p3/4Pb2/3K3P/2q3P1/3R4 w - - 3 31
mZyKbejU,4k3/pp4Rp/3Q4/8/1N6/P3P3/1P3PKP/1q6 w - - 5 35
8q00h3Zs,rnb1kb1r/ppp1pppp/5n2/8/3Pq3/2N5/PPP1NPPP/R1BQKB1R w KQkq - 1 6
OceNb5kB,r6r/p1Q2pp1/1p2pk1p/2p3q1/6n1/2N5/PPP1NPPP/3R1RK1 w - - 1 21
trOtBGm9,1Q6/p3kppp/2p5/1pN2P1B/8/4P1P1/5qrP/4bK2 w - - 1 31
fmR041ga,r1bqkb1r/pppppp1p/7p/8/n1BPP3/5Q2/PPP2PPP/RN2K1NR w KQkq - 0 6
WCto4iuw,2r3k1/5p1p/6p1/P1P3Q1/qP6/2B2P2/6P1/4R1K1 w - - 0 33
ET9OGBAy,r2q1rk1/p1p1bppp/3p4/4p3/3nQ3/P2B4/1P1P1PPP/RNB1K1NR w KQ - 3 13
74I5VB7k,1k6/3Q4/2R2P2/8/7K/8/8/7B w - - 19 71
qnmkN1B0,7R/P4k2/6p1/2p2p2/2K2P2/2BP1P2/7p/r7 w - - 1 47
53ffpR72,2N2k2/2p2pp1/p5bp/1p2b3/1P2P3/P2B2n1/2P2P2/1R2QRKq w - - 1 25
XUPh4332,4r1k1/ppp2ppp/5n2/8/8/8/PPPPNP1P/R1B1K1q1 w Q - 0 16
4ScbZUkV,r2r2k1/pp3ppp/8/8/Q2P4/5q2/PP2N2P/R3K3 w Q - 0 21
JOpUzUdE,4r1k1/2bN1rp1/p3pp1p/1p1p4/3n4/PP4P1/1P1N1P1P/4R1K1 w - - 0 27
5VyBXbbj,r1bk2nr/2qpnQ1p/p7/8/1p2P3/1B6/PPP2PPP/R1B1K2R w KQ - 1 14
ZkrEEMsY,q7/5k2/8/5n2/6p1/7p/2r4K/8 w - - 2 61
w2SzJVPz,rnb1kq2/3p4/p1p5/7r/1p2n3/8/PPPP1PPP/R1B2RK1 w - - 0 15
dfhuzAaA,8/8/8/2K5/4QB2/5B1k/8/8 w - - 5 46
7yXtPQr1,8/6p1/3k3p/5B2/3P4/5R1P/r2r1PP1/6K1 w - - 5 53
PB5lRCU6,4r1k1/p4pp1/3Q4/7p/P1qp3P/1p6/5PP1/6K1 w - - 0 31
4fIwpNkz,8/8/8/1R6/p2K1k2/P7/4B3/8 w - - 1 62
z4OH5yBf,6r1/p7/1p3p2/2p2k1P/7K/1P6/7r/2R5 w - - 3 41
rfKzVY8x,8/6n1/3N1k1p/7P/6K1/8/8/8 w - - 2 50
bzSwCLW2,Q7/5p2/8/3p4/1p6/1Pnk4/1K6/1r6 w - - 5 65
tYdEE0YW,Q7/8/8/8/5P2/7R/4k3/6RK w - - 1 43
V7WLWOdo,3Q4/8/8/8/8/2N5/PP2R1P1/K1k5 w - - 5 45
3MLx65NK,3r2nr/pp2k1pp/n2N1p2/4P3/q7/8/PPPQNP1P/2KR2R1 w - - 2 17
keVocdkQ,2Q5/1B6/8/B3k3/p3P3/P5p1/6P1/1K1R4 w - - 1 48
dyDPGGQF,rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2
u3HuYG0d,rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2
IdK61ztj,r4rk1/1pp2p2/2p4p/4q1p1/4P3/7P/P2Q1PP1/5RK1 w - - 0 22
pGopU50l,r1b2rk1/pp2q1pp/2pb4/3ppp2/5P2/2NQP3/PP1N2PP/R1B2RK1 w - - 0 15
NT7q676s,1r1q1b2/p1n2k2/1p2p1p1/4Pb1p/4pP2/1Q4PP/PP3BB1/2RR2K1 w - - 0 22
rDf7QFqe,r4rk1/ppp2ppp/8/3Ppnq1/1P4b1/1B1P2Q1/PP4PP/RN2K2R w KQ - 4 14
np8N2iNw,3rrk2/5p2/1P5p/p2bb2Q/7P/P5P1/5P1K/7q w - - 5 31
90U1suS3,r1bq3k/pp5p/3p1r2/3B2N1/1nP2pQ1/1P2P1P1/PB1P1P1P/R4RK1 w - - 0 17
jmGRxiSC,5rk1/p4pp1/b4q1p/3p4/3bn3/PP1Q3P/5PP1/1R1N1RK1 w - - 5 24
Vx21Arnp,r1bqkbnr/pppp1pp1/2n4p/8/2B1Pp2/5N2/PPPP2PP/RNBQK2R w KQkq - 2 5
QdgfgewN,r4k1r/pp1b1ppp/3Np3/2P5/1n3Q2/4K3/P5qP/8 w - - 4 21
2dchJk4o,7r/1pp2kpp/p1p5/3nb3/7P/P1P2bP1/1P5K/RNB4r w - - 1 22
IL6oV7DA,N1b2bnr/p4Npp/8/Bk1p4/4p3/1p6/P3PPPP/R3KB1R w KQ - 0 16
IBvM8sD5,6N1/6Rp/8/p7/8/5kP1/7P/2r3K1 w - - 1 44
sUZVC1A5,8/6k1/8/8/8/7K/8/8 w - - 0 41
m3PrB681,r1bqr3/ppp2k1p/4pp1B/3P3p/8/6Q1/PP3PPP/RN2K2R w KQ - 2 16
IqaLBVRm,r5k1/pp3p2/8/4R1BQ/8/P1NP2Pb/BPP3qP/R5K1 w - - 1 25
dB8NJj6W,8/6p1/8/8/6q1/8/5k2/7K w - - 18 65
DmFreRj6,8/1p4pk/p2R3p/3P4/2P5/1P3r1P/P4P1K/5R2 w - - 3 34
O3JrQkFE,8/8/4k3/2B5/8/7K/8/1q6 w - - 0 58
ZxGyw2pn,3rrk2/p4ppQ/2p5/7b/8/P2BB2P/1q1K4/4R3 w - - 7 34
IfxkGoYz,8/7p/6k1/pP6/6P1/5K2/7P/1N6 w - a6 0 34
XoUyJm07,r1bk3r/pp1p3p/4pp2/6Q1/4P1n1/2PP1P1P/PP2B3/RNBK2NR w - - 0 16
qbXm6cxG,rnbqkbnr/pp1ppppp/2p5/8/5P2/8/PPPPP1PP/RNBQKBNR w KQkq - 0 2
W4vsJvbx,8/8/8/4KQ2/7k/8/8/8 w - - 20 92
NcYIjf5n,6q1/7K/8/8/8/8/8/1k6 w - - 12 75
CVD6qR2W,6rk/2p1r2p/1pP2p1n/p1p5/3p4/P2B1N2/3Q1PqP/R1B2RK1 w - - 0 22
6yjjzId3,3k4/rp5p/3p2p1/2pP1p2/8/r3P1P1/PR2B2P/K7 w - - 2 35
fD8VMA2g,1r4k1/5p2/5pnp/4p3/pp2P3/4BN2/B1P2PPP/K1R5 w - - 0 25
X9YJPBeZ,2kr2nr/pp3ppp/2p2n2/8/8/3q4/P3QPPP/5K1R w - - 2 19
cnnPYrIv,1k6/7R/1K6/8/8/8/8/8 w - - 11 62
JSbaPsqC,2r3k1/1p3ppp/p5q1/B3Pb2/8/P2Q4/1P4PP/1K1R3R w - - 5 26
JKkNREUW,4kr2/p7/3p4/2pNpBn1/2P1P3/2NPK3/q4P2/4r3 w - - 2 30
w9b2tcka,r1bqkb1r/pppp1ppp/2n2n2/8/3pP3/2N2N2/PPP2PPP/R1BQKB1R w KQkq - 0 5
NPAK2Ve8,r1bqkb1r/ppp2ppp/2n2n2/3p4/3P4/2N2N2/PPP2PPP/R1BQKB1R w KQkq - 3 6
SL1o1reb,rnbqkb1r/ppp3pp/3p1n2/4pP2/8/3B1N2/PPPP1PPP/RNBQK2R w KQkq - 2 5
1sBN2TI8,8/8/8/8/1p3p2/5k2/3K1P2/7q w - - 0 64
ifdMeHNS,r1bqk2r/pppp1ppp/2n2n2/8/1b1NP3/2N5/PPP2PPP/R1BQKB1R w KQkq - 3 6
Ic6srxxl,r1bqkbnr/pp3ppp/2n1p3/2ppP3/3P4/2P5/PP3PPP/RNBQKBNR w KQkq - 1 5
Ap73wrWv,r1b1k1nr/pppp1ppp/2n5/8/1b1NP2q/2N5/PPP2PPP/R1BQKB1R w KQkq - 3 6
UWFituyb,1rb2rk1/p4p1p/2pb1p2/3p4/8/2NB4/PPP2PPP/4RRK1 w - - 2 15
CfOx08mu,r1bqkbnr/pppp1ppp/2n5/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 2 3
s7aFza1O,r2q4/ppp2kpp/3p1n2/2b1p3/4P1b1/2NP3P/PP1Q1PP1/n1B2RK1 w - - 0 13
9dTUGknK,8/p3k3/1p3p2/6pp/NPB5/6rP/P7/2K5 w - - 2 38
HmmpZqKg,1k6/8/1PP5/3N4/7R/P6P/3N1KP1/8 w - - 1 50
6Zw2vsLa,8/5pk1/6p1/7p/5P1P/p6r/1pK5/1R6 w - - 4 44
5eHe0BrQ,4k3/1R6/7p/6p1/8/2P4K/8/R7 w - - 0 45
QtNhbeGf,5rk1/pp3ppp/4p3/3p2P1/1n1Pn3/3b1N1P/4BP2/2K3R1 w - - 3 25
jCsNuxY4,3nk3/1p6/p1p1p2p/4r1p1/N7/5P1P/PPP2RP1/2K5 w - - 0 26
gPYIuslN,3k2nr/ppp5/2b4q/b2pp1Np/8/1QP5/PP1N1PPP/R4RK1 w - - 2 20
UXAzyMAQ,1r4k1/p4pp1/3b1q1p/7r/3p4/3N1Q1P/PP3PP1/1R3RK1 w - - 0 24
j1GiolnH,6k1/5p1p/P1p1bp2/2P5/8/8/4B1PP/7K w - - 1 36
qLPqCKIT,1q2k3/p1ppp2p/p5pQ/3rP3/1P1PN3/P1P4P/6P1/5RK1 w - - 1 22
vsO4yWFW,3r1k2/p1p3p1/b5B1/2p3Q1/7p/6PP/PPP3P1/2K4R w - - 0 23
qnhXn8XO,8/1Q6/3Q4/4R3/7k/7P/8/5K2 w - - 2 67
1qVNTz5L,r2qrk2/1bppbp1Q/p1n5/1p6/3pB3/7P/PPP2PP1/RNB2RK1 w - - 7 18
U9rISFOP,r3q1kb/p1Q2p1p/1p4pB/3N4/6P1/5n2/PP3P1P/R6K w - - 0 20
7do8m0wz,rn1q1b1r/2N1kp2/p1Q4p/4p1p1/4P3/P3B3/1PP2PPP/3R1RK1 w - - 3 20
ZCwd4MWm,r1b1kr2/pppp1ppp/8/2b1n3/2P3P1/4Np1P/PP1P2q1/R1BQ2KR w q - 0 17
Kr5u9mJu,rnb3nr/pp3Q1p/2p3Bk/8/1bp1Pq2/1PN5/P2B1PPP/R3K2R w KQ - 1 16
hpKLDrAB,6k1/5ppp/pR6/3pp3/P4n2/3P1P2/7P/5r1K w - - 0 41
6qMX1ohP,rn1qk2r/p2p1p2/4pn1p/2p1P1p1/4b3/2PB1NB1/P1P2PPP/R2QK2R w KQkq - 1 12
ETJEWRgn,r1bk1r2/2ppb1Qp/p2qp3/4N1B1/1p1PP3/2N5/PP2B2P/RK5R w - - 1 20
SUilwK4T,8/8/8/8/2K5/1q6/1k6/8 w - - 0 58
PBMCfE2c,8/5b2/5P2/8/3K4/p7/3k4/8 w - - 0 56
9n9yEyUZ,8/3k4/8/P1p1p3/2PpP3/1K1P4/1P3r2/R7 w - - 1 44
YFiQl73O,8/8/8/1p3R2/2pR2Pk/8/PPP3K1/8 w - - 3 34
vNkM2a7X,4R3/8/5k2/5p2/6p1/6P1/5P1P/6K1 w - - 3 43
T1ByG02M,r4rk1/1ppb1ppp/p7/8/2n1P3/2P5/P4PPP/2B2RK1 w - - 0 18
E0jM5PJK,8/1R6/5k2/p1p4p/4R3/P1P4P/2P2pr1/5K2 w - - 0 34
GtaYRXbm,6k1/pppB1ppp/8/7P/PP1P1b2/6q1/8/4rK2 w - - 4 33
NTznP06n,r1b1r1k1/pp1p1p1p/1q1B1np1/8/3Q4/2N5/PPP1BPPP/2KR3R w - - 3 14
JFoFVEub,rnb2rk1/1p2bppp/p2pN3/4p3/2B1PPQ1/1Pq5/P1P3PP/R4R1K w - - 0 14
kY0NwqMa,r4rk1/ppp2ppp/3p4/1Bb1p3/2Q1P1P1/1PN2b2/PBPP1P2/R4RKq w - - 3 15
qMsiRfut,3r4/1pp2kpp/8/p4n2/P7/2P3P1/7P/6K1 w - - 0 30
5P2mlvlV,2krr3/p3b2p/1p4p1/2p2pR1/3n1p2/2BP3P/PPP2P2/2KR1B2 w - - 2 20
SYk4nBQr,8/8/8/4p3/6Q1/5P2/4k3/6K1 w - - 3 66
kmGMVu2H,rn3k1r/ppp4R/3p2Q1/2nB2B1/8/8/PqP2PPP/RN4K1 w - - 1 16
E109AYg6,r1bq1rk1/p2pnpp1/1p1b3p/2p1P3/2Q4B/5N2/PP3PPP/RN2KB1R w KQ - 2 14
fh9mVD7Q,1r3rk1/p1p2ppp/3p4/3Bp3/1P2P3/P2P1q1b/2P1Rb1P/1RBQ3K w - - 0 18
ChqE9t19,r4rk1/p2q1ppp/1p1b4/2pB1QB1/3p3R/3P4/PPP2PP1/5R1K w - - 6 22
ZQG7q460,r1bq1knr/ppp3pp/2np1p2/2b1pN1Q/2B1P3/8/PPPP1PPP/RNB1K2R w KQ - 0 7
D0IR1Tkc,5r1k/7p/2p1rpp1/p3p3/2B1P2N/P1R1B2P/P4P2/5RK1 w - - 5 32
8EYPAUoe,r1b1Q3/p1p5/3p4/kn2p3/2B5/P2P4/2P2PPP/R4R1K w - - 0 28
V4dQrr1D,8/4Q3/8/p7/P6p/1P5P/5RP1/1k5K w - - 3 50
bFIZNE44,r5k1/pp4nR/6p1/3pBbN1/3P4/8/PPn2PPP/6K1 w - - 1 23
7szGCmj2,8/3k4/8/8/4K3/7p/8/6q1 w - - 0 57
m61TlfwY,5rk1/ppp2p2/6p1/6N1/1P3pb1/N2Pn3/P5rP/R5KR w - - 0 24
NIpJZ2u5,1rnqkb1r/p2b1ppp/8/3PN3/8/5Q2/PPPP1PPP/R1B1K2R w KQk - 2 11
pNDRytNK,k3r3/pp5R/2pB4/4p3/N7/3nn2p/PP5P/5rK1 w - - 2 32
zXBA0Wzk,1r3rk1/p1p2ppp/Q1nb4/4P3/2B1P3/6Pb/PP1B1PqP/R4RK1 w - - 1 17
I7yjXmU5,8/ppkn4/6Q1/4p3/2BqP3/1P1P4/P1P1b1RP/RK3r2 w - - 5 28
3h05ADUh,8/8/5R2/6p1/7k/5P2/6K1/8 w - - 1 47
